Domicile,xG,Score,xG.1,Extérieur,Affluence,Arbitre
Arsenal,1.7,3–2,3.4,Watford,0.0,Mike Dean
Crystal Palace,0.8,1–1,0.4,Tottenham,0.0,Andre Marriner
Everton,2.2,1–3,1.8,Bournemouth,0.0,Chris Kavanagh
Chelsea,1.3,2–0,0.2,Wolves,0.0,Stuart Attwell
Newcastle Utd,0.4,1–3,0.6,Liverpool,0.0,Anthony Taylor
Leicester City,1.4,0–2,1.9,Manchester Utd,0.0,Martin Atkinson
Manchester City,3.2,5–0,1.1,Norwich City,0.0,Craig Pawson
Southampton,2.2,3–1,1.4,Sheffield Utd,0.0,Peter Bankes
Fulham,0.2,0–3,1.8,Arsenal,,Chris Kavanagh
Crystal Palace,0.7,1–0,0.8,Southampton,,Jonathan Moss
Liverpool,3.3,4–3,0.6,Leeds United,,Michael Oliver
West Ham,1.1,0–2,1.5,Newcastle Utd,,Stuart Attwell
West Brom,0.5,0–3,2.2,Leicester City,,Anthony Taylor
Tottenham,1.0,0–1,1.4,Everton,,Martin Atkinson
Sheffield Utd,0.6,0–2,1.1,Wolves,,Mike Dean
Brighton,1.4,1–3,1.2,Chelsea,,Craig Pawson
Everton,3.4,5–2,0.3,West Brom,,Mike Dean
Leeds United,1.7,4–3,1.8,Fulham,,Anthony Taylor
Manchester Utd,1.1,1–3,1.6,Crystal Palace,,Martin Atkinson
Arsenal,1.4,2–1,1.9,West Ham,,Michael Oliver
Southampton,1.5,2–5,2.5,Tottenham,,David Coote
Newcastle Utd,0.5,0–3,1.6,Brighton,,Kevin Friend
Chelsea,1.0,0–2,2.6,Liverpool,,Paul Tierney
Leicester City,1.4,4–2,1.9,Burnley,,Lee Mason
Aston Villa,1.0,1–0,0.9,Sheffield Utd,,Graham Scott
Wolves,1.0,1–3,1.9,Manchester City,,Andre Marriner
Brighton,2.4,2–3,1.1,Manchester Utd,,Chris Kavanagh
Crystal Palace,0.4,1–2,2.0,Everton,,Kevin Friend
West Brom,1.0,3–3,2.2,Chelsea,,Jonathan Moss
Burnley,0.5,0–1,0.6,Southampton,,Andre Marriner
Sheffield Utd,1.6,0–1,1.6,Leeds United,,Paul Tierney
Tottenham,2.3,1–1,1.0,Newcastle Utd,,Peter Bankes
Manchester City,0.9,2–5,2.6,Leicester City,,Michael Oliver
West Ham,1.6,4–0,0.5,Wolves,,Martin Atkinson
Fulham,0.7,0–3,1.6,Aston Villa,,Stuart Attwell
Liverpool,3.2,3–1,1.2,Arsenal,,Craig Pawson
Chelsea,2.5,4–0,0.1,Crystal Palace,,Michael Oliver
Everton,1.8,4–2,1.2,Brighton,,Simon Hooper
Leeds United,1.7,1–1,1.5,Manchester City,,Mike Dean
Newcastle Utd,2.0,3–1,0.6,Burnley,,David Coote
Leicester City,0.4,0–3,1.6,West Ham,,Andy Madley
Southampton,1.2,2–0,0.1,West Brom,,Chris Kavanagh
Arsenal,0.4,2–1,0.2,Sheffield Utd,,Lee Mason
Wolves,1.2,1–0,0.7,Fulham,,Darren England
Manchester Utd,0.9,1–6,3.8,Tottenham,,Anthony Taylor
Aston Villa,3.9,7–2,1.8,Liverpool,,Martin Atkinson
Everton,1.3,2–2,2.2,Liverpool,,Michael Oliver
Chelsea,2.0,3–3,2.2,Southampton,,Peter Bankes
Manchester City,1.5,1–0,0.9,Arsenal,,Chris Kavanagh
Newcastle Utd,0.5,1–4,2.7,Manchester Utd,,Craig Pawson
Sheffield Utd,1.5,1–1,1.7,Fulham,,Andre Marriner
Crystal Palace,0.8,1–1,1.1,Brighton,,Stuart Attwell
Tottenham,1.2,3–3,2.1,West Ham,,Paul Tierney
Leicester City,0.5,0–1,0.6,Aston Villa,,Jonathan Moss
West Brom,1.0,0–0,1.1,Burnley,,Anthony Taylor
Leeds United,1.6,0–1,0.5,Wolves,,David Coote
Aston Villa,1.2,0–3,3.6,Leeds United,,Paul Tierney
West Ham,0.5,1–1,1.1,Manchester City,,Anthony Taylor
Fulham,1.1,1–2,2.6,Crystal Palace,,Graham Scott
Manchester Utd,0.7,0–0,0.2,Chelsea,,Martin Atkinson
Liverpool,2.5,2–1,1.5,Sheffield Utd,,Mike Dean
Southampton,0.7,2–0,0.4,Everton,,Kevin Friend
Wolves,0.7,1–1,0.2,Newcastle Utd,,Lee Mason
Arsenal,0.9,0–1,1.2,Leicester City,,Craig Pawson
Brighton,0.7,1–1,0.6,West Brom,,Jonathan Moss
Burnley,0.6,0–1,0.8,Tottenham,,Michael Oliver
Wolves,1.3,2–0,0.6,Crystal Palace,,Martin Atkinson
Sheffield Utd,0.5,0–1,1.5,Manchester City,,Michael Oliver
Burnley,0.4,0–3,1.4,Chelsea,,David Coote
Liverpool,1.8,2–1,0.5,West Ham,,Kevin Friend
Aston Villa,1.8,3–4,0.7,Southampton,,Darren England
Newcastle Utd,2.5,2–1,1.2,Everton,,Stuart Attwell
Manchester Utd,0.3,0–1,1.1,Arsenal,,Mike Dean
Tottenham,1.8,2–1,0.4,Brighton,,Graham Scott
Fulham,1.5,2–0,0.5,West Brom,,Simon Hooper
Leeds United,1.0,1–4,3.5,Leicester City,,Andre Marriner
Brighton,1.3,0–0,0.3,Burnley,,Mike Dean
Southampton,0.9,2–0,0.5,Newcastle Utd,,Peter Bankes
Everton,0.6,1–3,1.6,Manchester Utd,,Paul Tierney
Crystal Palace,0.9,4–1,0.8,Leeds United,,Chris Kavanagh
Chelsea,2.7,4–1,0.6,Sheffield Utd,,Jonathan Moss
West Ham,1.3,1–0,1.6,Fulham,,Robert Jones
West Brom,0.8,0–1,1.6,Tottenham,,Andy Madley
Leicester City,1.9,1–0,0.5,Wolves,,Anthony Taylor
Manchester City,1.6,1–1,1.4,Liverpool,,Craig Pawson
Arsenal,1.5,0–3,1.7,Aston Villa,,Martin Atkinson
Newcastle Utd,0.6,0–2,1.6,Chelsea,,Craig Pawson
Aston Villa,1.5,1–2,1.3,Brighton,,Michael Oliver
Tottenham,0.7,2–0,1.3,Manchester City,,Mike Dean
Manchester Utd,2.5,1–0,0.6,West Brom,,David Coote
Fulham,2.0,2–3,1.6,Everton,,Andy Madley
Sheffield Utd,0.7,0–1,2.2,West Ham,,Martin Atkinson
Leeds United,2.5,0–0,0.9,Arsenal,,Anthony Taylor
Liverpool,3.7,3–0,1.3,Leicester City,,Chris Kavanagh
Burnley,1.6,1–0,1.4,Crystal Palace,,Kevin Friend
Wolves,1.9,1–1,1.5,Southampton,,Andre Marriner
Crystal Palace,1.0,0–2,1.5,Newcastle Utd,,Graham Scott
Brighton,2.1,1–1,0.5,Liverpool,,Stuart Attwell
Manchester City,2.8,5–0,0.4,Burnley,,Lee Mason
Everton,1.6,0–1,2.9,Leeds United,,Chris Kavanagh
West Brom,1.3,1–0,2.7,Sheffield Utd,,Mike Dean
Southampton,0.4,2–3,2.3,Manchester Utd,,Jonathan Moss
Chelsea,1.0,0–0,0.2,Tottenham,,Paul Tierney
Arsenal,1.2,1–2,1.4,Wolves,,Michael Oliver
Leicester City,0.9,1–2,1.8,Fulham,,Simon Hooper
West Ham,0.6,2–1,2.6,Aston Villa,,Peter Bankes
Burnley,0.8,1–1,1.7,Everton,,Anthony Taylor
Manchester City,3.0,2–0,0.2,Fulham,,Jonathan Moss
West Ham,2.2,1–3,1.9,Manchester Utd,2000.0,Andre Marriner
Chelsea,3.7,3–1,1.3,Leeds United,2000.0,Kevin Friend
West Brom,0.8,1–5,1.8,Crystal Palace,,Paul Tierney
Sheffield Utd,0.3,1–2,1.5,Leicester City,,Stuart Attwell
Tottenham,0.5,2–0,0.8,Arsenal,2000.0,Martin Atkinson
Liverpool,1.2,4–0,0.5,Wolves,2000.0,Craig Pawson
Brighton,2.1,1–2,1.1,Southampton,2000.0,David Coote
Leeds United,1.8,1–2,1.9,West Ham,,Michael Oliver
Wolves,1.2,0–1,1.1,Aston Villa,,Mike Dean
Newcastle Utd,1.1,2–1,0.6,West Brom,,Darren England
Manchester Utd,1.0,0–0,1.2,Manchester City,,Chris Kavanagh
Everton,1.3,1–0,0.9,Chelsea,2000.0,Jonathan Moss
Southampton,1.4,3–0,0.4,Sheffield Utd,2000.0,Andy Madley
Crystal Palace,1.2,1–1,1.1,Tottenham,2000.0,Kevin Friend
Fulham,1.5,1–1,2.1,Liverpool,2000.0,Andre Marriner
Leicester City,1.7,3–0,1.1,Brighton,,Martin Atkinson
Arsenal,1.5,0–1,0.9,Burnley,2000.0,Graham Scott
Wolves,0.5,2–1,1.3,Chelsea,,Stuart Attwell
Manchester City,1.9,1–1,0.3,West Brom,,Peter Bankes
Leeds United,2.8,5–2,0.9,Newcastle Utd,,Simon Hooper
Arsenal,0.7,1–1,1.1,Southampton,,Paul Tierney
Leicester City,0.7,0–2,1.2,Everton,,Lee Mason
Liverpool,1.2,2–1,1.3,Tottenham,2000.0,Anthony Taylor
West Ham,0.3,1–1,0.9,Crystal Palace,,David Coote
Fulham,0.8,0–0,0.6,Brighton,,Robert Jones
Aston Villa,2.0,0–0,0.4,Burnley,,Craig Pawson
Sheffield Utd,1.6,2–3,2.0,Manchester Utd,,Michael Oliver
Crystal Palace,0.3,0–7,2.1,Liverpool,,Jonathan Moss
Southampton,1.0,0–1,1.1,Manchester City,,Mike Dean
Everton,0.8,2–1,1.4,Arsenal,,Andre Marriner
Newcastle Utd,1.4,1–1,0.7,Fulham,,Graham Scott
Brighton,2.6,1–1,0.7,Sheffield Utd,,Peter Bankes
Tottenham,1.1,0–2,1.5,Leicester City,,Craig Pawson
Manchester Utd,4.0,6–2,1.7,Leeds United,,Anthony Taylor
West Brom,0.0,0–3,2.3,Aston Villa,,Martin Atkinson
Burnley,1.8,2–1,1.4,Wolves,,Lee Mason
Chelsea,2.1,3–0,0.5,West Ham,,Chris Kavanagh
Leicester City,1.2,2–2,2.2,Manchester Utd,,Mike Dean
Fulham,0.9,0–0,0.1,Southampton,,Darren England
Aston Villa,3.5,3–0,1.1,Crystal Palace,,Anthony Taylor
Arsenal,2.1,3–1,2.3,Chelsea,,Michael Oliver
Sheffield Utd,1.2,0–1,0.7,Everton,,David Coote
Manchester City,1.8,2–0,0.3,Newcastle Utd,,Andre Marriner
Leeds United,1.8,1–0,1.1,Burnley,,Robert Jones
West Ham,1.2,2–2,1.2,Brighton,,Simon Hooper
Liverpool,1.6,1–1,0.5,West Brom,2000.0,Kevin Friend
Wolves,1.0,1–1,0.4,Tottenham,,Paul Tierney
Crystal Palace,0.5,1–1,1.8,Leicester City,,Graham Scott
Chelsea,1.4,1–1,0.8,Aston Villa,,Stuart Attwell
Burnley,0.8,1–0,0.4,Sheffield Utd,,Chris Kavanagh
West Brom,0.6,0–5,0.9,Leeds United,,Lee Mason
Brighton,0.8,0–1,1.2,Arsenal,,Martin Atkinson
Southampton,0.5,0–0,0.9,West Ham,,Andy Madley
Manchester Utd,1.3,1–0,0.4,Wolves,,Jonathan Moss
Newcastle Utd,0.3,0–0,1.1,Liverpool,,Paul Tierney
Everton,0.3,0–1,1.3,West Ham,,Kevin Friend
Manchester Utd,1.9,2–1,1.6,Aston Villa,,Michael Oliver
Tottenham,2.6,3–0,1.0,Leeds United,,David Coote
Crystal Palace,0.6,2–0,0.3,Sheffield Utd,,Stuart Attwell
Brighton,1.7,3–3,1.7,Wolves,,Andy Madley
West Brom,0.4,0–4,3.3,Arsenal,,Martin Atkinson
Newcastle Utd,0.2,1–2,0.9,Leicester City,,Robert Jones
Chelsea,0.8,1–3,2.4,Manchester City,,Anthony Taylor
Southampton,0.6,1–0,1.1,Liverpool,,Andre Marriner
Sheffield Utd,1.8,1–0,0.5,Newcastle Utd,,Andy Madley
Burnley,0.9,0–1,1.2,Manchester Utd,,Kevin Friend
Wolves,1.0,1–2,0.6,Everton,,Martin Atkinson
Manchester City,2.6,1–0,0.2,Brighton,,Darren England
Tottenham,2.3,1–1,0.9,Fulham,,Paul Tierney
Arsenal,0.6,0–0,0.9,Crystal Palace,,Andre Marriner
Wolves,2.2,2–3,2.3,West Brom,,Michael Oliver
Leeds United,0.3,0–1,1.3,Brighton,,Kevin Friend
West Ham,1.7,1–0,0.5,Burnley,,Chris Kavanagh
Fulham,0.8,0–1,1.5,Chelsea,,Peter Bankes
Leicester City,2.1,2–0,0.8,Southampton,,Stuart Attwell
Sheffield Utd,0.7,1–3,1.2,Tottenham,,Andre Marriner
Liverpool,1.7,0–0,0.9,Manchester Utd,,Paul Tierney
Manchester City,0.9,4–0,0.0,Crystal Palace,,Lee Mason
Arsenal,2.8,3–0,0.2,Newcastle Utd,,David Coote
West Ham,1.3,2–1,0.4,West Brom,,Graham Scott
Leicester City,1.2,2–0,0.8,Chelsea,,Craig Pawson
Manchester City,4.3,2–0,0.8,Aston Villa,,Jonathan Moss
Fulham,0.9,1–2,1.2,Manchester Utd,,Martin Atkinson
Liverpool,2.3,0–1,1.4,Burnley,,Mike Dean
Aston Villa,1.8,2–0,0.6,Newcastle Utd,,Simon Hooper
Newcastle Utd,1.4,1–2,0.9,Leeds United,,Anthony Taylor
Crystal Palace,0.5,2–3,3.0,West Ham,,Stuart Attwell
Southampton,1.2,1–3,2.0,Arsenal,,Kevin Friend
West Brom,0.4,0–5,2.0,Manchester City,,Chris Kavanagh
Burnley,0.5,3–2,2.1,Aston Villa,,Paul Tierney
Chelsea,0.8,0–0,0.4,Wolves,,Andy Madley
Brighton,2.0,0–0,1.0,Fulham,,Craig Pawson
Everton,0.6,1–1,1.1,Leicester City,,Mike Dean
Manchester Utd,1.7,1–2,1.0,Sheffield Utd,,Peter Bankes
Tottenham,0.2,1–3,2.1,Liverpool,,Martin Atkinson
Everton,1.0,0–2,1.8,Newcastle Utd,,Stuart Attwell
West Brom,0.6,2–2,1.8,Fulham,,Anthony Taylor
Manchester City,1.2,1–0,0.2,Sheffield Utd,,David Coote
Crystal Palace,0.8,1–0,0.4,Wolves,,Simon Hooper
Arsenal,1.1,0–0,1.5,Manchester Utd,,Michael Oliver
Southampton,1.7,0–1,0.5,Aston Villa,,Lee Mason
Chelsea,1.3,2–0,0.2,Burnley,,Graham Scott
Leicester City,1.9,1–3,1.8,Leeds United,,Chris Kavanagh
West Ham,1.0,1–3,1.9,Liverpool,,Jonathan Moss
Brighton,1.9,1–0,0.5,Tottenham,,Peter Bankes
Wolves,1.5,2–1,0.6,Arsenal,,Craig Pawson
Sheffield Utd,1.1,2–1,1.5,West Brom,,Paul Tierney
Manchester Utd,3.7,9–0,0.5,Southampton,,Mike Dean
Newcastle Utd,1.8,1–2,0.9,Crystal Palace,,Darren England
Burnley,0.1,0–2,2.6,Manchester City,,Martin Atkinson
Fulham,0.7,0–2,1.1,Leicester City,,Robert Jones
Leeds United,0.9,1–2,1.8,Everton,,Michael Oliver
Liverpool,0.7,0–1,1.1,Brighton,,Kevin Friend
Aston Villa,0.7,1–3,1.5,West Ham,,Andy Madley
Tottenham,0.3,0–1,2.2,Chelsea,,Andre Marriner
Aston Villa,1.1,1–0,1.1,Arsenal,,Chris Kavanagh
Newcastle Utd,0.8,3–2,1.4,Southampton,,Craig Pawson
Burnley,2.1,1–1,0.6,Brighton,,Anthony Taylor
Fulham,1.4,0–0,0.8,West Ham,,Mike Dean
Manchester Utd,1.4,3–3,1.1,Everton,,Jonathan Moss
Tottenham,1.5,2–0,0.4,West Brom,,Stuart Attwell
Wolves,1.9,0–0,0.7,Leicester City,,Martin Atkinson
Liverpool,1.3,1–4,3.1,Manchester City,,Michael Oliver
Sheffield Utd,0.4,1–2,1.4,Chelsea,,Kevin Friend
Leeds United,2.8,2–0,0.5,Crystal Palace,,Andre Marriner
Leicester City,2.6,3–1,1.8,Liverpool,,Anthony Taylor
Crystal Palace,0.6,0–3,1.3,Burnley,,Michael Oliver
Manchester City,2.9,3–0,0.6,Tottenham,,Paul Tierney
Brighton,1.7,0–0,0.1,Aston Villa,,Darren England
Southampton,0.7,1–2,1.1,Wolves,,Graham Scott
West Brom,1.1,1–1,0.4,Manchester Utd,,Craig Pawson
Arsenal,2.4,4–2,0.7,Leeds United,,Stuart Attwell
Everton,0.3,0–2,2.7,Fulham,,Andy Madley
West Ham,1.9,3–0,0.7,Sheffield Utd,,Simon Hooper
Chelsea,2.0,2–0,0.7,Newcastle Utd,,Peter Bankes
Burnley,1.4,1–1,0.5,Fulham,,Jonathan Moss
Everton,1.0,1–3,1.5,Manchester City,,Andre Marriner
Wolves,0.8,1–0,1.4,Leeds United,,David Coote
Southampton,0.5,1–1,1.2,Chelsea,,Anthony Taylor
Burnley,0.4,0–0,1.0,West Brom,,Mike Dean
Liverpool,1.7,0–2,1.5,Everton,,Chris Kavanagh
Fulham,1.1,1–0,0.5,Sheffield Utd,,Martin Atkinson
West Ham,1.1,2–1,1.2,Tottenham,,Craig Pawson
Aston Villa,1.2,1–2,1.2,Leicester City,,Michael Oliver
Arsenal,0.3,0–1,2.0,Manchester City,,Jonathan Moss
Manchester Utd,1.8,3–1,0.5,Newcastle Utd,,Paul Tierney
Brighton,2.6,1–2,0.2,Crystal Palace,,Kevin Friend
Leeds United,1.3,3–0,0.7,Southampton,,Andre Marriner
Manchester City,0.6,2–1,1.6,West Ham,,Michael Oliver
West Brom,0.5,1–0,2.6,Brighton,,Lee Mason
Leeds United,0.7,0–1,0.9,Aston Villa,,Peter Bankes
Newcastle Utd,1.5,1–1,1.0,Wolves,,Mike Dean
Crystal Palace,0.1,0–0,1.0,Fulham,,Anthony Taylor
Leicester City,0.5,1–3,2.2,Arsenal,,Paul Tierney
Tottenham,2.2,4–0,0.5,Burnley,,Kevin Friend
Chelsea,1.1,0–0,0.5,Manchester Utd,,Stuart Attwell
Sheffield Utd,0.6,0–2,2.9,Liverpool,,Jonathan Moss
Everton,1.6,1–0,1.0,Southampton,,Martin Atkinson
Manchester City,2.3,4–1,0.4,Wolves,,Chris Kavanagh
Burnley,1.5,1–1,1.3,Leicester City,,Andy Madley
Sheffield Utd,1.0,1–0,1.6,Aston Villa,,Robert Jones
Crystal Palace,0.8,0–0,0.9,Manchester Utd,,Andre Marriner
West Brom,1.0,0–1,1.2,Everton,,Darren England
Fulham,0.8,0–1,1.4,Tottenham,,David Coote
Liverpool,0.3,0–1,1.0,Chelsea,,Martin Atkinson
Burnley,1.5,1–1,2.4,Arsenal,,Andre Marriner
Sheffield Utd,0.7,0–2,1.6,Southampton,,Paul Tierney
Aston Villa,0.6,0–0,1.7,Wolves,,Andy Madley
Brighton,1.0,1–2,1.1,Leicester City,,Michael Oliver
West Brom,1.0,0–0,0.4,Newcastle Utd,,Martin Atkinson
Liverpool,1.0,0–1,1.1,Fulham,,Kevin Friend
Manchester City,1.5,0–2,1.6,Manchester Utd,,Anthony Taylor
Tottenham,2.7,4–1,0.3,Crystal Palace,,Stuart Attwell
Chelsea,2.9,2–0,0.3,Everton,,David Coote
West Ham,1.9,2–0,1.7,Leeds United,,Mike Dean
Manchester City,2.7,5–2,1.8,Southampton,,Jonathan Moss
Newcastle Utd,1.1,1–1,0.7,Aston Villa,,Paul Tierney
Leeds United,0.4,0–0,1.4,Chelsea,,Kevin Friend
Crystal Palace,1.3,1–0,0.8,West Brom,,Simon Hooper
Everton,1.6,1–2,1.4,Burnley,,Jonathan Moss
Fulham,0.3,0–3,2.3,Manchester City,,Andre Marriner
Southampton,1.0,1–2,0.9,Brighton,,Stuart Attwell
Leicester City,4.0,5–0,0.1,Sheffield Utd,,Peter Bankes
Arsenal,1.7,2–1,0.6,Tottenham,,Michael Oliver
Manchester Utd,1.2,1–0,0.6,West Ham,,Martin Atkinson
Wolves,0.8,0–1,1.1,Liverpool,,Craig Pawson
Fulham,1.4,1–2,1.5,Leeds United,,David Coote
Brighton,1.2,3–0,0.1,Newcastle Utd,,Anthony Taylor
West Ham,2.3,3–3,1.7,Arsenal,,Jonathan Moss
Aston Villa,0.5,0–2,2.2,Tottenham,,Mike Dean
Chelsea,2.4,2–5,1.9,West Brom,,David Coote
Leeds United,2.5,2–1,1.0,Sheffield Utd,,Graham Scott
Leicester City,0.4,0–2,2.3,Manchester City,,Anthony Taylor
Arsenal,0.3,0–3,2.2,Liverpool,,Stuart Attwell
Southampton,1.9,3–2,1.8,Burnley,,Andre Marriner
Newcastle Utd,2.7,2–2,1.7,Tottenham,,Craig Pawson
Aston Villa,1.6,3–1,1.7,Fulham,,Andy Madley
Manchester Utd,1.8,2–1,1.1,Brighton,,Mike Dean
Everton,2.7,1–1,0.8,Crystal Palace,,Kevin Friend
Wolves,2.5,2–3,1.2,West Ham,,Michael Oliver
Fulham,0.9,0–1,0.4,Wolves,,Jonathan Moss
Manchester City,2.4,1–2,0.3,Leeds United,,Andre Marriner
Liverpool,2.5,2–1,1.0,Aston Villa,,Paul Tierney
Crystal Palace,0.1,1–4,2.5,Chelsea,,Michael Oliver
Burnley,1.8,1–2,1.2,Newcastle Utd,,Anthony Taylor
West Ham,1.1,3–2,0.9,Leicester City,,Mike Dean
Tottenham,1.0,1–3,1.9,Manchester Utd,,Chris Kavanagh
Sheffield Utd,0.5,0–3,2.2,Arsenal,,Peter Bankes
West Brom,2.9,3–0,2.1,Southampton,,Simon Hooper
Brighton,1.2,0–0,0.4,Everton,,Darren England
Everton,2.3,2–2,1.2,Tottenham,,Michael Oliver
Newcastle Utd,1.8,3–2,1.5,West Ham,,Kevin Friend
Wolves,1.4,1–0,0.5,Sheffield Utd,,Robert Jones
Arsenal,2.9,1–1,0.9,Fulham,,Craig Pawson
Manchester Utd,2.8,3–1,0.4,Burnley,,Jonathan Moss
Leeds United,1.8,1–1,2.3,Liverpool,,Anthony Taylor
Chelsea,1.0,0–0,0.7,Brighton,,Stuart Attwell
Tottenham,1.8,2–1,0.8,Southampton,,David Coote
Aston Villa,0.7,1–2,1.4,Manchester City,,Peter Bankes
Leicester City,2.3,3–0,0.4,West Brom,,Andy Madley
Arsenal,0.9,0–1,0.8,Everton,,Jonathan Moss
Liverpool,1.9,1–1,1.2,Newcastle Utd,,Andre Marriner
West Ham,0.4,0–1,2.2,Chelsea,,Chris Kavanagh
Sheffield Utd,0.8,1–0,2.2,Brighton,,Kevin Friend
Wolves,0.3,0–4,2.1,Burnley,,Darren England
Leeds United,0.4,0–0,1.3,Manchester Utd,,Craig Pawson
Aston Villa,2.3,2–2,1.4,West Brom,,Stuart Attwell
Leicester City,1.1,2–1,0.6,Crystal Palace,,Graham Scott
Southampton,1.1,1–1,1.7,Leicester City,,Robert Jones
Crystal Palace,0.8,0–2,2.1,Manchester City,,David Coote
Brighton,2.6,2–0,0.8,Leeds United,,Chris Kavanagh
Chelsea,1.9,2–0,0.3,Fulham,,Kevin Friend
Everton,1.2,1–2,1.9,Aston Villa,,Simon Hooper
Newcastle Utd,0.2,0–2,1.9,Arsenal,,Mike Dean
Tottenham,2.0,4–0,0.5,Sheffield Utd,,Andre Marriner
West Brom,1.4,1–1,1.4,Wolves,,Paul Tierney
Burnley,1.8,1–2,1.8,West Ham,,Anthony Taylor
Leicester City,2.3,2–4,2.6,Newcastle Utd,,Darren England
Leeds United,2.6,3–1,1.0,Tottenham,,Michael Oliver
Sheffield Utd,0.7,0–2,2.1,Crystal Palace,,Simon Hooper
Manchester City,2.2,1–2,0.8,Chelsea,,Anthony Taylor
Liverpool,2.2,2–0,1.3,Southampton,,Kevin Friend
Wolves,1.2,2–1,0.4,Brighton,,Jonathan Moss
Aston Villa,0.5,1–3,1.8,Manchester Utd,,Chris Kavanagh
West Ham,1.1,0–1,1.7,Everton,,Stuart Attwell
Arsenal,0.9,3–1,1.3,West Brom,,Peter Bankes
Fulham,0.9,0–2,2.0,Burnley,,David Coote
Manchester Utd,0.4,1–2,0.7,Leicester City,,Craig Pawson
Southampton,1.3,3–1,1.5,Crystal Palace,,Andy Madley
Chelsea,2.1,0–1,0.8,Arsenal,,Andre Marriner
Aston Villa,0.7,0–0,1.1,Everton,,Martin Atkinson
Manchester Utd,2.0,2–4,2.6,Liverpool,,Anthony Taylor
Newcastle Utd,2.2,3–4,1.3,Manchester City,,Kevin Friend
Burnley,1.5,0–4,2.3,Leeds United,,Graham Scott
Southampton,1.9,3–1,1.1,Fulham,,Craig Pawson
Brighton,0.9,1–1,1.1,West Ham,,Andre Marriner
Crystal Palace,1.6,3–2,1.3,Aston Villa,,David Coote
Tottenham,3.0,2–0,1.2,Wolves,,Martin Atkinson
West Brom,0.8,1–2,2.4,Liverpool,,Mike Dean
Everton,1.3,0–1,1.6,Sheffield Utd,,Jonathan Moss
Manchester Utd,1.1,1–1,0.8,Fulham,10000.0,Lee Mason
Southampton,1.1,0–2,1.3,Leeds United,8000.0,Peter Bankes
Brighton,1.4,3–2,1.0,Manchester City,7945.0,Stuart Attwell
Chelsea,2.8,2–1,0.9,Leicester City,8000.0,Mike Dean
Tottenham,1.1,1–2,2.0,Aston Villa,10000.0,Craig Pawson
Everton,0.7,1–0,0.5,Wolves,4988.0,Andy Madley
Newcastle Utd,1.5,1–0,0.8,Sheffield Utd,10000.0,Robert Jones
Crystal Palace,1.0,1–3,1.3,Arsenal,6500.0,Anthony Taylor
Burnley,0.7,0–3,2.9,Liverpool,3387.0,Chris Kavanagh
West Brom,1.1,1–3,3.7,West Ham,5371.0,Michael Oliver
Leicester City,1.9,2–4,1.9,Tottenham,8000.0,Anthony Taylor
Manchester City,2.6,5–0,1.2,Everton,10000.0,Michael Oliver
Liverpool,1.8,2–0,0.7,Crystal Palace,9901.0,Craig Pawson
Sheffield Utd,0.6,1–0,1.0,Burnley,5000.0,Kevin Friend
Wolves,0.9,1–2,1.7,Manchester Utd,4500.0,Mike Dean
Arsenal,1.1,2–0,0.4,Brighton,10000.0,Jonathan Moss
Leeds United,2.0,3–1,1.7,West Brom,8000.0,David Coote
Fulham,0.9,0–2,1.2,Newcastle Utd,2000.0,Chris Kavanagh
Aston Villa,1.0,2–1,2.4,Chelsea,10000.0,Stuart Attwell
West Ham,1.6,3–0,1.5,Southampton,10000.0,Martin Atkinson
Brentford,1.3,2–0,1.4,Arsenal,16479.0,Michael Oliver
Manchester Utd,1.5,5–1,0.6,Leeds United,72732.0,Paul Tierney
Watford,1.0,3–2,1.2,Aston Villa,20051.0,Mike Dean
Chelsea,0.9,3–0,0.3,Crystal Palace,38965.0,Jonathan Moss
Everton,2.4,3–1,0.7,Southampton,38487.0,Andy Madley
Burnley,1.0,1–2,1.3,Brighton,16910.0,David Coote
Leicester City,0.8,1–0,1.1,Wolves,31983.0,Craig Pawson
Norwich City,1.2,0–3,2.1,Liverpool,27023.0,Andre Marriner
Newcastle Utd,1.5,2–4,2.3,West Ham,50673.0,Martin Atkinson
Tottenham,1.3,1–0,1.9,Manchester City,58262.0,Anthony Taylor
Liverpool,2.9,2–0,0.7,Burnley,52591.0,Mike Dean
Leeds United,1.5,2–2,2.0,Everton,36293.0,Darren England
Aston Villa,1.1,2–0,0.7,Newcastle Utd,41964.0,David Coote
Crystal Palace,0.6,0–0,0.9,Brentford,23091.0,Martin Atkinson
Manchester City,2.7,5–0,0.1,Norwich City,51437.0,Graham Scott
Brighton,1.5,2–0,0.9,Watford,29485.0,Anthony Taylor
Southampton,0.8,1–1,1.4,Manchester Utd,32000.0,Craig Pawson
Wolves,1.4,0–1,1.5,Tottenham,30368.0,Stuart Attwell
Arsenal,0.3,0–2,2.9,Chelsea,58729.0,Paul Tierney
West Ham,2.5,4–1,0.8,Leicester City,59901.0,Michael Oliver
Manchester City,3.8,5–0,0.1,Arsenal,52276.0,Martin Atkinson
West Ham,1.2,2–2,0.7,Crystal Palace,59751.0,Stuart Attwell
Norwich City,1.6,1–2,1.3,Leicester City,26765.0,Robert Jones
Brighton,1.0,0–2,1.6,Everton,30548.0,Jonathan Moss
Newcastle Utd,1.4,2–2,3.6,Southampton,44017.0,Paul Tierney
